class,timing_ns
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11040.062798337136
baseline,11040.062798337136
baseline,11000.062570806927
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11040.062798337136
baseline,11110.063196514997
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11120.06325339755
baseline,11050.062855219687
baseline,11040.062798337136
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11110.063196514997
baseline,11050.062855219687
baseline,11030.062741454583
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11140.063367162653
baseline,11100.063139632446
baseline,11090.063082749894
baseline,11110.063196514997
baseline,11080.063025867343
baseline,11110.063196514997
baseline,11100.063139632446
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11160.063480927756
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11110.063196514997
baseline,12780.07269590114
baseline,11430.065016756653
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11130.0633102801
baseline,11100.063139632446
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11030.062741454583
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11040.062798337136
baseline,11100.063139632446
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11100.063139632446
baseline,11130.0633102801
baseline,11170.063537810309
baseline,11270.064106635826
baseline,11280.064163518377
baseline,11320.064391048585
baseline,11280.064163518377
baseline,11370.064675461343
baseline,11130.0633102801
baseline,11180.06359469286
baseline,11170.063537810309
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11030.062741454583
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11130.0633102801
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11090.063082749894
baseline,11060.06291210224
baseline,15570.08856613308
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11110.063196514997
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11140.063367162653
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11040.062798337136
baseline,11040.062798337136
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11110.063196514997
baseline,11100.063139632446
baseline,11100.063139632446
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11120.06325339755
baseline,11070.06296898479
baseline,15510.08822483777
baseline,11040.062798337136
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11130.0633102801
baseline,11050.062855219687
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11120.06325339755
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11100.063139632446
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11110.063196514997
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11090.063082749894
baseline,11070.06296898479
baseline,11130.0633102801
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11180.06359469286
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11030.062741454583
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11110.063196514997
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11100.063139632446
baseline,11100.063139632446
baseline,12750.072525253485
baseline,11260.064049753273
baseline,11150.063424045204
baseline,11160.063480927756
baseline,11110.063196514997
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11090.063082749894
baseline,16220.092263498944
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11140.063367162653
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11130.0633102801
baseline,11100.063139632446
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11160.063480927756
baseline,11140.063367162653
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11100.063139632446
baseline,11150.063424045204
baseline,11100.063139632446
baseline,11120.06325339755
baseline,11120.06325339755
baseline,11090.063082749894
baseline,11100.063139632446
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11110.063196514997
baseline,11140.063367162653
baseline,11050.062855219687
baseline,11110.063196514997
baseline,11130.0633102801
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11120.06325339755
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11120.06325339755
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11170.063537810309
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11130.0633102801
baseline,11120.06325339755
baseline,11180.06359469286
baseline,11170.063537810309
baseline,11110.063196514997
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11100.063139632446
baseline,11090.063082749894
baseline,11150.063424045204
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11140.063367162653
baseline,11090.063082749894
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11140.063367162653
baseline,11120.06325339755
baseline,11110.063196514997
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11160.063480927756
baseline,11180.06359469286
baseline,11130.0633102801
baseline,11140.063367162653
baseline,11150.063424045204
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11130.0633102801
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11140.063367162653
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11120.06325339755
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11170.063537810309
baseline,11270.064106635826
baseline,11120.06325339755
baseline,11110.063196514997
baseline,11080.063025867343
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11110.063196514997
baseline,11100.063139632446
baseline,11150.063424045204
baseline,11440.065073639205
baseline,11270.064106635826
baseline,11110.063196514997
baseline,11100.063139632446
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11150.063424045204
baseline,11140.063367162653
baseline,11080.063025867343
baseline,11120.06325339755
baseline,11160.063480927756
baseline,11200.063708457963
baseline,11110.063196514997
baseline,11120.06325339755
baseline,11100.063139632446
baseline,11150.063424045204
baseline,11130.0633102801
baseline,11110.063196514997
baseline,11130.0633102801
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11120.06325339755
baseline,11100.063139632446
baseline,11170.063537810309
baseline,11120.06325339755
baseline,11370.064675461343
baseline,11300.06427728348
baseline,11380.064732343895
baseline,11320.064391048585
baseline,11340.064504813688
baseline,11140.063367162653
baseline,11090.063082749894
baseline,11070.06296898479
baseline,26730.152047060834
baseline,11310.064334166032
baseline,11270.064106635826
baseline,11420.064959874102
baseline,11360.064618578792
baseline,11190.063651575412
baseline,11260.064049753273
baseline,11120.06325339755
baseline,11120.06325339755
baseline,11090.063082749894
baseline,11140.063367162653
baseline,11090.063082749894
baseline,11140.063367162653
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11300.06427728348
baseline,11240.06393598817
baseline,11200.063708457963
baseline,11180.06359469286
baseline,11190.063651575412
baseline,11200.063708457963
baseline,11170.063537810309
baseline,11250.063992870722
baseline,11200.063708457963
baseline,11240.06393598817
baseline,11300.06427728348
baseline,11660.066325055344
baseline,11630.066154407688
baseline,11670.066381937895
baseline,11610.066040642585
baseline,11780.067007645965
baseline,11770.066950763414
baseline,11710.066609468102
baseline,11620.066097525138
baseline,11490.065358051965
baseline,11330.064447931136
baseline,11300.06427728348
baseline,11290.06422040093
baseline,11250.063992870722
baseline,11220.063822223066
baseline,11170.063537810309
baseline,11150.063424045204
baseline,11150.063424045204
